_match_key,event_id,match_confidence,home_team,away_team,is_home,status,goals_prevented,goals_prevented_value,crosses,crosses_value,dribbles,dribbles_value,offsides,offsides_value,shots_off_target,shots_off_target_value,shots_on_target,shots_on_target_value,counter_attacks,counter_attacks_value,corner_kicks,corner_kicks_value,possession_lost,possession_lost_value,big_chances,big_chances_value,clearances,clearances_value,tackles,tackles_value,expected_goals,expected_goals_value,long_balls,long_balls_value,free_kicks,free_kicks_value,ball_possession,ball_possession_value,interceptions,interceptions_value,big_chances_missed,big_chances_missed_value,blocked_shots,blocked_shots_value,passes,passes_value,goalkeeper_saves,goalkeeper_saves_value,red_cards,red_cards_value,total_shots,total_shots_value,duels_won,duels_won_value,fouls,fouls_value,accurate_passes,accurate_passes_value,yellow_cards,yellow_cards_value,shots_outside_box,shots_outside_box_value,goal_kicks,goal_kicks_value,shots_inside_box,shots_inside_box_value,throw_ins,throw_ins_value,counter_attack_shots,counter_attack_shots_value,aerials_won,aerials_won_value,error,lookup_error
game:4715094|team:galatasaray spor kulubu,14566665,2.39,Manchester City,Galatasaray,False,finished,-0.57,-0.5673,2/15 (13%),2.0,7/12 (58%),7.0,5,5.0,0,0.0,4,4.0,,,4,4.0,,,0,0.0,14,14.0,18,18.0,0.26,0.26,27/50 (54%),27.0,8,8.0,50%,50.0,9,9.0,0,0.0,0,0.0,516,516.0,3,3.0,,,4,4.0,,,10,10.0,450,450.0,1,1.0,1,1.0,4,4.0,3,3.0,16,16.0,,,,,,
game:4715919|team:rangers football club,14572632,2.42,FC Porto,Rangers,False,finished,-1.39,-1.3912,3/16 (19%),3.0,11/16 (69%),11.0,2,2.0,1,1.0,2,2.0,,,3,3.0,,,1,1.0,20,20.0,23,23.0,0.43,0.43,20/50 (40%),20.0,17,17.0,59%,59.0,7,7.0,,,2,2.0,489,489.0,1,1.0,,,5,5.0,,,13,13.0,425,425.0,1,1.0,3,3.0,8,8.0,2,2.0,14,14.0,,,,,,
game:4715120|team:sport lisboa e benfica,14566735,2.39,Benfica,Real Madrid,True,finished,0.23,0.2284,5/12 (42%),5.0,6/12 (50%),6.0,1,1.0,3,3.0,12,12.0,,,6,6.0,,,8,8.0,16,16.0,22,22.0,3.01,3.01,13/33 (39%),13.0,14,14.0,33%,33.0,11,11.0,5,5.0,7,7.0,294,294.0,4,4.0,0,0.0,22,22.0,,,11,11.0,227,227.0,2,2.0,2,2.0,8,8.0,20,20.0,15,15.0,,,,,,
game:4716040|team:sporting clube de braga,14572812,2.55,Go Ahead Eagles,Sporting Braga,False,finished,0.00,0.0,4/18 (22%),4.0,5/13 (38%),5.0,1,1.0,3,3.0,1,1.0,,,3,3.0,,,,,24,24.0,11,11.0,0.44,0.44,17/49 (35%),17.0,11,11.0,53%,53.0,7,7.0,,,5,5.0,527,527.0,0,0.0,,,9,9.0,,,5,5.0,420,420.0,1,1.0,3,3.0,4,4.0,6,6.0,27,27.0,,,,,,
game:4714984|team:sporting clube de portugal,14566910,2.47,Athletic Club,Sporting CP,False,finished,-0.80,-0.799,4/17 (24%),4.0,9/15 (60%),9.0,3,3.0,2,2.0,6,6.0,,,7,7.0,,,2,2.0,30,30.0,23,23.0,1.76,1.76,13/29 (45%),13.0,22,22.0,65%,65.0,11,11.0,1,1.0,1,1.0,590,590.0,0,0.0,,,9,9.0,,,8,8.0,516,516.0,5,5.0,2,2.0,7,7.0,7,7.0,17,17.0,,,,,,
game:4647932|team:besiktas jimnastik kulubu,14109771,2.42,EyÃ¼pspor,BeÅŸiktaÅŸ JK,False,finished,-0.81,-0.8146,5/32 (16%),5.0,8/18 (44%),8.0,1,1.0,5,5.0,9,9.0,,,5,5.0,,,3,3.0,21,21.0,19,19.0,1.75,1.75,26/45 (58%),26.0,10,10.0,61%,61.0,14,14.0,1,1.0,3,3.0,477,477.0,2,2.0,,,17,17.0,,,14,14.0,387,387.0,1,1.0,7,7.0,3,3.0,10,10.0,31,31.0,,,,,,
game:4649460|team:the celtic football club,14035253,2.39,Heart of Midlothian,Celtic,False,finished,-0.52,-0.519,2/7 (29%),2.0,4/10 (40%),4.0,1,1.0,3,3.0,3,3.0,,,2,2.0,,,2,2.0,26,26.0,15,15.0,1.32,1.32,17/69 (25%),17.0,14,14.0,45%,45.0,7,7.0,1,1.0,3,3.0,308,308.0,4,4.0,1,1.0,9,9.0,,,22,22.0,200,200.0,6,6.0,2,2.0,8,8.0,7,7.0,25,25.0,,,,,,
game:4648810|team:futebol clube do porto,14288950,2.42,FC Porto,Gil Vicente,True,finished,0.63,0.6347,3/13 (23%),3.0,5/12 (42%),5.0,3,3.0,5,5.0,6,6.0,,,11,11.0,,,4,4.0,14,14.0,12,12.0,2.25,2.25,14/36 (39%),14.0,7,7.0,58%,58.0,10,10.0,2,2.0,3,3.0,442,442.0,5,5.0,0,0.0,14,14.0,,,13,13.0,366,366.0,2,2.0,5,5.0,6,6.0,9,9.0,18,18.0,,,,,,
game:4647935|team:fenerbahce spor kulubu,14109776,2.39,FenerbahÃ§e,GÃ¶ztepe,True,finished,0.21,0.2066,10/38 (26%),10.0,9/22 (41%),9.0,1,1.0,10,10.0,5,5.0,,,8,8.0,,,5,5.0,16,16.0,18,18.0,2.12,2.12,26/48 (54%),26.0,22,22.0,82%,82.0,1,1.0,4,4.0,6,6.0,700,700.0,3,3.0,,,21,21.0,,,8,8.0,624,624.0,3,3.0,7,7.0,4,4.0,14,14.0,31,31.0,,,,,,
game:4647936|team:galatasaray spor kulubu,14109777,2.39,Fatih KaragÃ¼mrÃ¼k,Galatasaray,False,finished,-0.26,-0.2553,10/28 (36%),10.0,3/13 (23%),3.0,1,1.0,5,5.0,4,4.0,,,6,6.0,,,4,4.0,22,22.0,22,22.0,1.40,1.4,18/39 (46%),18.0,8,8.0,64%,64.0,8,8.0,1,1.0,2,2.0,615,615.0,2,2.0,,,11,11.0,,,13,13.0,557,557.0,2,2.0,1,1.0,4,4.0,10,10.0,16,16.0,,,,,,
game:4649462|team:rangers football club,14035255,2.42,Rangers,Dundee FC,True,finished,0.01,0.0088,5/21 (24%),5.0,13/16 (81%),13.0,2,2.0,7,7.0,8,8.0,,,7,7.0,,,3,3.0,17,17.0,17,17.0,2.51,2.51,18/43 (42%),18.0,11,11.0,54%,54.0,11,11.0,2,2.0,4,4.0,476,476.0,1,1.0,,,19,19.0,,,14,14.0,400,400.0,1,1.0,7,7.0,4,4.0,12,12.0,16,16.0,,,,,,
game:4648816|team:sport lisboa e benfica,14288958,2.42,Benfica,CF Estrela Amadora,True,finished,0.00,0.0,5/28 (18%),5.0,11/22 (50%),11.0,1,1.0,6,6.0,8,8.0,,,6,6.0,,,3,3.0,7,7.0,18,18.0,2.53,2.53,18/34 (53%),18.0,23,23.0,66%,66.0,4,4.0,1,1.0,1,1.0,465,465.0,0,0.0,,,15,15.0,,,10,10.0,407,407.0,3,3.0,3,3.0,3,3.0,12,12.0,19,19.0,,,,,,
game:4648809|team:sporting clube de braga,14288948,2.5,Sporting Braga,FC Alverca,True,finished,0.00,0.0,5/16 (31%),5.0,16/26 (62%),16.0,,,2,2.0,7,7.0,,,7,7.0,,,3,3.0,8,8.0,13,13.0,3.42,3.42,16/34 (47%),16.0,10,10.0,68%,68.0,11,11.0,,,8,8.0,746,746.0,0,0.0,,,17,17.0,,,9,9.0,691,691.0,2,2.0,6,6.0,2,2.0,11,11.0,13,13.0,,,,,,
game:4648814|team:sporting clube de portugal,14288955,2.5,FC Arouca,Sporting CP,False,finished,0.22,0.2227,8/23 (35%),8.0,11/19 (58%),11.0,1,1.0,8,8.0,4,4.0,,,7,7.0,,,2,2.0,14,14.0,7,7.0,1.58,1.58,24/35 (69%),24.0,11,11.0,65%,65.0,9,9.0,2,2.0,4,4.0,614,614.0,4,4.0,1,1.0,16,16.0,,,12,12.0,550,550.0,3,3.0,1,1.0,3,3.0,15,15.0,15,15.0,,,,,,
game:4647930|team:trabzonspor kulubu,14109772,2.39,Trabzonspor,KasÄ±mpaÅŸa,True,finished,0.27,0.2667,6/27 (22%),6.0,7/16 (44%),7.0,1,1.0,7,7.0,3,3.0,,,3,3.0,,,1,1.0,16,16.0,11,11.0,0.73,0.73,28/38 (74%),28.0,13,13.0,57%,57.0,8,8.0,1,1.0,5,5.0,499,499.0,1,1.0,0,0.0,15,15.0,,,18,18.0,452,452.0,2,2.0,7,7.0,2,2.0,8,8.0,21,21.0,,,,,,
game:4648813|team:vitoria sport clube,14288954,2.42,Estoril Praia,VitÃ³ria SC,False,finished,-2.08,-2.0788,11/23 (48%),11.0,4/11 (36%),4.0,1,1.0,7,7.0,4,4.0,,,2,2.0,,,4,4.0,24,24.0,16,16.0,1.94,1.94,21/47 (45%),21.0,9,9.0,45%,45.0,6,6.0,4,4.0,2,2.0,363,363.0,1,1.0,,,13,13.0,,,19,19.0,298,298.0,3,3.0,3,3.0,10,10.0,10,10.0,15,15.0,,,,,,
game:4716020|team:the celtic football club,14572796,2.39,Bologna,Celtic,False,finished,-0.19,-0.1947,2/4 (50%),2.0,2/5 (40%),2.0,1,1.0,3,3.0,5,5.0,,,2,2.0,,,3,3.0,75,75.0,30,30.0,2.11,2.11,16/64 (25%),16.0,8,8.0,29%,29.0,11,11.0,1,1.0,0,0.0,241,241.0,7,7.0,1,1.0,8,8.0,,,11,11.0,164,164.0,3,3.0,0,0.0,14,14.0,8,8.0,19,19.0,,,,,,
game:4715971|team:futebol clube do porto,14572724,2.42,FC Viktoria PlzeÅˆ,FC Porto,False,finished,-0.91,-0.908,8/33 (24%),8.0,8/17 (47%),8.0,0,0.0,7,7.0,8,8.0,,,7,7.0,,,4,4.0,9,9.0,17,17.0,2.14,2.14,18/35 (51%),18.0,10,10.0,67%,67.0,6,6.0,4,4.0,4,4.0,468,468.0,1,1.0,0,0.0,19,19.0,,,12,12.0,395,395.0,4,4.0,7,7.0,7,7.0,12,12.0,18,18.0,,,,,,
game:4715945|team:fussballclub red bull salzburg,14572661,2.47,Red Bull Salzburg,Basel,True,finished,-0.43,-0.4314,5/17 (29%),5.0,7/20 (35%),7.0,0,0.0,7,7.0,8,8.0,,,8,8.0,,,1,1.0,18,18.0,18,18.0,1.65,1.65,22/48 (46%),22.0,9,9.0,61%,61.0,13,13.0,1,1.0,6,6.0,596,596.0,2,2.0,,,21,21.0,,,12,12.0,520,520.0,1,1.0,9,9.0,4,4.0,12,12.0,16,16.0,,,,,,
game:4715951|team:fenerbahce spor kulubu,14572701,2.39,FenerbahÃ§e,Aston Villa,True,finished,-0.23,-0.2281,2/15 (13%),2.0,12/18 (67%),12.0,7,7.0,3,3.0,8,8.0,,,5,5.0,,,2,2.0,34,34.0,22,22.0,1.08,1.08,29/45 (64%),29.0,15,15.0,63%,63.0,12,12.0,2,2.0,2,2.0,510,510.0,2,2.0,,,13,13.0,,,13,13.0,445,445.0,4,4.0,10,10.0,6,6.0,3,3.0,14,14.0,,,,,,
game:4714995|team:galatasaray spor kulubu,14566935,2.42,Galatasaray,AtlÃ©tico Madrid,True,finished,-0.26,-0.2635,5/14 (36%),5.0,5/10 (50%),5.0,1,1.0,2,2.0,2,2.0,,,4,4.0,,,2,2.0,43,43.0,16,16.0,0.50,0.5,34/61 (56%),34.0,11,11.0,46%,46.0,11,11.0,2,2.0,3,3.0,443,443.0,3,3.0,,,7,7.0,,,11,11.0,368,368.0,3,3.0,4,4.0,9,9.0,3,3.0,12,12.0,,,,,,
game:4715925|team:rangers football club,14572640,2.39,Rangers,Ludogorets,True,finished,0.64,0.6442,4/18 (22%),4.0,14/24 (58%),14.0,1,1.0,3,3.0,7,7.0,,,6,6.0,,,4,4.0,16,16.0,18,18.0,1.42,1.42,21/34 (62%),21.0,13,13.0,50%,50.0,6,6.0,3,3.0,4,4.0,432,432.0,4,4.0,,,14,14.0,,,17,17.0,362,362.0,6,6.0,4,4.0,5,5.0,10,10.0,23,23.0,,,,,,
game:4715011|team:sport lisboa e benfica,14566765,2.39,Juventus,Benfica,False,finished,0.09,0.088,2/19 (11%),2.0,11/17 (65%),11.0,0,0.0,5,5.0,3,3.0,,,7,7.0,,,1,1.0,23,23.0,25,25.0,1.44,1.44,26/49 (53%),26.0,13,13.0,54%,54.0,6,6.0,1,1.0,8,8.0,497,497.0,3,3.0,,,16,16.0,,,10,10.0,427,427.0,0,0.0,8,8.0,8,8.0,8,8.0,11,11.0,,,,,,
game:4715957|team:sporting clube de braga,14572699,2.47,Sporting Braga,Nottingham Forest,True,finished,1.98,1.979,4/11 (36%),4.0,4/12 (33%),4.0,0,0.0,5,5.0,0,0.0,,,3,3.0,,,1,1.0,15,15.0,18,18.0,0.55,0.55,16/46 (35%),16.0,18,18.0,57%,57.0,7,7.0,1,1.0,1,1.0,564,564.0,4,4.0,0,0.0,6,6.0,,,10,10.0,488,488.0,3,3.0,0,0.0,8,8.0,6,6.0,21,21.0,,,,,,
game:4715102|team:sporting clube de portugal,14566854,2.47,Sporting CP,Paris Saint-Germain,True,finished,-0.05,-0.0545,1/2 (50%),1.0,4/18 (22%),4.0,1,1.0,3,3.0,4,4.0,,,2,2.0,,,3,3.0,20,20.0,20,20.0,0.89,0.89,14/36 (39%),14.0,11,11.0,25%,25.0,9,9.0,1,1.0,3,3.0,233,233.0,5,5.0,,,10,10.0,,,10,10.0,174,174.0,2,2.0,4,4.0,15,15.0,6,6.0,7,7.0,,,,,,
game:4647929|team:besiktas jimnastik kulubu,14109770,2.42,BeÅŸiktaÅŸ JK,Kayserispor,True,finished,0.52,0.5217,12/41 (29%),12.0,12/22 (55%),12.0,1,1.0,13,13.0,9,9.0,,,9,9.0,,,1,1.0,24,24.0,16,16.0,1.91,1.91,13/25 (52%),13.0,15,15.0,69%,69.0,8,8.0,1,1.0,9,9.0,637,637.0,3,3.0,,,31,31.0,,,12,12.0,563,563.0,2,2.0,16,16.0,6,6.0,15,15.0,15,15.0,,,,,,
game:4648771|team:futebol clube do porto,14288944,2.45,VitÃ³ria SC,FC Porto,False,finished,0.63,0.6261,1/12 (8%),1.0,3/8 (38%),3.0,2,2.0,7,7.0,3,3.0,,,1,1.0,,,4,4.0,36,36.0,20,20.0,2.31,2.31,14/35 (40%),14.0,17,17.0,50%,50.0,11,11.0,3,3.0,2,2.0,382,382.0,3,3.0,0,0.0,12,12.0,,,15,15.0,315,315.0,2,2.0,7,7.0,7,7.0,5,5.0,18,18.0,,,,,,
game:4647927|team:fenerbahce spor kulubu,14109768,2.47,Alanyaspor,FenerbahÃ§e,False,finished,-0.71,-0.711,2/16 (13%),2.0,7/12 (58%),7.0,1,1.0,5,5.0,4,4.0,,,6,6.0,,,4,4.0,23,23.0,16,16.0,2.30,2.3,20/50 (40%),20.0,10,10.0,55%,55.0,5,5.0,1,1.0,3,3.0,545,545.0,1,1.0,,,12,12.0,,,10,10.0,464,464.0,0,0.0,3,3.0,4,4.0,9,9.0,20,20.0,,,,,,
